2026-02-19 23:47:07.421 | INFO     | run=4d9f7aad-5b5b-40de-a63a-5e50b1aac435 | backend.utils.logger:setup_logger:41 — Logger initialized for run_id=4d9f7aad-5b5b-40de-a63a-5e50b1aac435
2026-02-19 23:47:07.427 | INFO     | run=4d9f7aad-5b5b-40de-a63a-5e50b1aac435 | backend.orchestrator.graph:run_healing_pipeline:184 — ======================================================================
2026-02-19 23:47:07.428 | INFO     | run=4d9f7aad-5b5b-40de-a63a-5e50b1aac435 | backend.orchestrator.graph:run_healing_pipeline:185 — 🚀 CI/CD Healing Intelligence Core — STARTING
2026-02-19 23:47:07.428 | INFO     | run=4d9f7aad-5b5b-40de-a63a-5e50b1aac435 | backend.orchestrator.graph:run_healing_pipeline:186 — ======================================================================
2026-02-19 23:47:07.485 | INFO     | run=4d9f7aad-5b5b-40de-a63a-5e50b1aac435 | backend.agents.cicd_feedback_agent:run:68 — [CICDFeedbackAgent] No CI logs provided, skipping
2026-02-19 23:47:07.491 | INFO     | run=4d9f7aad-5b5b-40de-a63a-5e50b1aac435 | backend.agents.repo_analyzer_agent:run:84 — [RepoAnalyzerAgent] Scanning repo: /Users/harshshinde/Movies/CapCut/untitled folder/CodeReborn/backend/workspace/4d9f7aad-5b5b-40de-a63a-5e50b1aac435
2026-02-19 23:47:07.494 | INFO     | run=4d9f7aad-5b5b-40de-a63a-5e50b1aac435 | backend.agents.repo_analyzer_agent:run:90 — [RepoAnalyzerAgent] Detected language=LanguageMode.PYTHON, test_tool=pytest
2026-02-19 23:47:07.495 | SUCCESS  | run=4d9f7aad-5b5b-40de-a63a-5e50b1aac435 | backend.agents.repo_analyzer_agent:run:130 — [RepoAnalyzerAgent] Done in 0.00s — Python: 1 src, 0 tests, 0 configs
2026-02-19 23:47:07.496 | INFO     | run=4d9f7aad-5b5b-40de-a63a-5e50b1aac435 | backend.agents.test_runner_agent:run:72 — [TestRunnerAgent] Running tests — language=PYTHON, tool=pytest
2026-02-19 23:47:07.496 | INFO     | run=4d9f7aad-5b5b-40de-a63a-5e50b1aac435 | backend.agents.test_runner_agent:_execute_pytest:130 — [TestRunnerAgent] Running pytest in /Users/harshshinde/Movies/CapCut/untitled folder/CodeReborn/backend/workspace/4d9f7aad-5b5b-40de-a63a-5e50b1aac435
2026-02-19 23:47:08.563 | INFO     | run=4d9f7aad-5b5b-40de-a63a-5e50b1aac435 | backend.agents.test_runner_agent:run:104 — [TestRunnerAgent] Done in 1.07s | exit=5 pass=0 fail=0
2026-02-19 23:47:08.565 | INFO     | run=4d9f7aad-5b5b-40de-a63a-5e50b1aac435 | backend.agents.failure_classifier_agent:run:166 — [FailureClassifierAgent] Classifying failures...
2026-02-19 23:47:08.565 | INFO     | run=4d9f7aad-5b5b-40de-a63a-5e50b1aac435 | backend.agents.failure_classifier_agent:run:195 — [FailureClassifierAgent] Running proactive LLM bug scan...
2026-02-19 23:47:08.621 | INFO     | run=4d9f7aad-5b5b-40de-a63a-5e50b1aac435 | backend.utils.llm_client:__init__:125 — [LLMClient] ⚡ Using Groq — model=llama-3.1-8b-instant (FREE, ~500 tok/sec)
2026-02-19 23:47:09.048 | SUCCESS  | run=4d9f7aad-5b5b-40de-a63a-5e50b1aac435 | backend.agents.failure_classifier_agent:run:216 — [FailureClassifierAgent] 1 failures classified in 0.48s
2026-02-19 23:47:09.050 | INFO     | run=4d9f7aad-5b5b-40de-a63a-5e50b1aac435 | backend.agents.root_cause_agent:run:56 — [RootCauseAgent] Analyzing 1 failures...
