2026-02-20 05:24:17.940 | INFO     | run=077326bd-b2a7-455b-85a3-5dace38f9a30 | backend.utils.logger:setup_logger:41 — Logger initialized for run_id=077326bd-b2a7-455b-85a3-5dace38f9a30
2026-02-20 05:24:17.940 | INFO     | run=077326bd-b2a7-455b-85a3-5dace38f9a30 | backend.orchestrator.graph:run_healing_pipeline:185 — ======================================================================
2026-02-20 05:24:17.940 | INFO     | run=077326bd-b2a7-455b-85a3-5dace38f9a30 | backend.orchestrator.graph:run_healing_pipeline:186 — 🚀 CI/CD Healing Intelligence Core — STARTING
2026-02-20 05:24:17.940 | INFO     | run=077326bd-b2a7-455b-85a3-5dace38f9a30 | backend.orchestrator.graph:run_healing_pipeline:187 — ======================================================================
2026-02-20 05:24:17.951 | INFO     | run=077326bd-b2a7-455b-85a3-5dace38f9a30 | backend.agents.cicd_feedback_agent:run:68 — [CICDFeedbackAgent] No CI logs provided, skipping
2026-02-20 05:24:17.952 | INFO     | run=077326bd-b2a7-455b-85a3-5dace38f9a30 | backend.agents.repo_analyzer_agent:run:84 — [RepoAnalyzerAgent] Scanning repo: /home/runner/work/RIFTFINAL/RIFTFINAL/workspace/077326bd-b2a7-455b-85a3-5dace38f9a30
2026-02-20 05:24:17.954 | INFO     | run=077326bd-b2a7-455b-85a3-5dace38f9a30 | backend.agents.repo_analyzer_agent:run:90 — [RepoAnalyzerAgent] Detected language=PYTHON, test_tool=pytest
2026-02-20 05:24:17.954 | WARNING  | run=077326bd-b2a7-455b-85a3-5dace38f9a30 | backend.utils.ast_parser:parse_file:74 — [ASTParser] SyntaxError in /home/runner/work/RIFTFINAL/RIFTFINAL/workspace/077326bd-b2a7-455b-85a3-5dace38f9a30/demo.py:1 — expected ':'
2026-02-20 05:24:17.955 | SUCCESS  | run=077326bd-b2a7-455b-85a3-5dace38f9a30 | backend.agents.repo_analyzer_agent:run:130 — [RepoAnalyzerAgent] Done in 0.00s — Python: 1 src, 0 tests, 0 configs
2026-02-20 05:24:17.955 | INFO     | run=077326bd-b2a7-455b-85a3-5dace38f9a30 | backend.agents.test_runner_agent:run:72 — [TestRunnerAgent] Running tests — language=PYTHON, tool=pytest
2026-02-20 05:24:17.956 | INFO     | run=077326bd-b2a7-455b-85a3-5dace38f9a30 | backend.agents.test_runner_agent:_execute_pytest:131 — [TestRunnerAgent] Running pytest in /home/runner/work/RIFTFINAL/RIFTFINAL/workspace/077326bd-b2a7-455b-85a3-5dace38f9a30
2026-02-20 05:24:20.908 | INFO     | run=077326bd-b2a7-455b-85a3-5dace38f9a30 | backend.agents.test_runner_agent:run:104 — [TestRunnerAgent] Done in 2.95s | exit=5 pass=0 fail=0
